DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2013-Q1,35865.9,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2013-Q2,36121.0,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2013-Q3,36147.2,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2013-Q4,36641.4,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2014-Q1,36548.6,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2014-Q2,36667.6,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2014-Q3,36982.8,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2014-Q4,37015.2,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2015-Q1,36988.0,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2015-Q2,37428.3,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2015-Q3,37518.1,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2015-Q4,37538.1,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2016-Q1,37913.0,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2016-Q2,38011.4,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2016-Q3,38095.6,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2016-Q4,38512.0,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2017-Q1,38548.2,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2017-Q2,38481.5,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2017-Q3,38734.9,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2017-Q4,38911.9,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2018-Q1,39182.6,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2018-Q2,39329.7,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2018-Q3,39489.4,,
